Item Id,Item URI,Dublin Core:Title,Dublin Core:Subject,Dublin Core:Description,Dublin Core:Creator,Dublin Core:Source,Dublin Core:Publisher,Dublin Core:Date,Dublin Core:Contributor,Dublin Core:Rights,Dublin Core:Relation,Dublin Core:Format,Dublin Core:Language,Dublin Core:Type,Dublin Core:Identifier,Dublin Core:Coverage,Item Type Metadata:Text,Item Type Metadata:Transcription,Item Type Metadata:Local URL,Item Type Metadata:Original Format,Item Type Metadata:Physical Dimensions,Item Type Metadata:From,Item Type Metadata:To,Item Type Metadata:Number of Attachments,Item Type Metadata:URL,Item Type Metadata:Birth Date,Item Type Metadata:Birthplace,Item Type Metadata:Death Date,Item Type Metadata:Biographical Text,Item Type Metadata:Bibliography,Item Type Metadata:Journal Entry,Item Type Metadata:Footnotes,Item Type Metadata:Location,PDF Text:Text,tags,file,itemType,collection,public,featured
1483,https://georgeeliotarchive.org/items/show/1483,"George Eliot to Georgiana Burne-Jones, 1880-01-19",Georgiana Burne-Jones,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:342-343","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,"Correspondence,Cross Letters,Georgiana Burne-Jones,Letters",https://georgeeliotarchive.org/files/original/710cf17e5f2ef5100d7bc24a3119c470.pdf,,Correspondence - The John Cross Collection,1,0
1482,https://georgeeliotarchive.org/items/show/1482,"George Eliot to Clementia Doughty Taylor, 1880-01-05",Clementia Doughty Taylor,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:342","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clementia Doughty Taylor,Correspondence,Cross Letters,Letters",https://georgeeliotarchive.org/files/original/f9ec5ffc5c29bb652ded26049c8629ef.pdf,,Correspondence - The John Cross Collection,1,0
1481,https://georgeeliotarchive.org/items/show/1481,"George Eliot to Edward Clodd, 1880-01-04",Edward Clodd,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:341-342","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,"Correspondence,Cross Letters,Edward Clodd,Letters",https://georgeeliotarchive.org/files/original/2956e61cc1ae422a9d32bfd09d1cb76d.pdf,,Correspondence - The John Cross Collection,1,0
1480,https://georgeeliotarchive.org/items/show/1480,"George Eliot to Clementia Doughty Taylor, 1879-12-06",Clementia Doughty Taylor,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:341","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1879-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clementia Doughty Taylor,Correspondence,Cross Letters,Letters",https://georgeeliotarchive.org/files/original/af3b859a122c0c6460aa28439c6a5799.pdf,,Correspondence - The John Cross Collection,1,0
1479,https://georgeeliotarchive.org/items/show/1479,"George Eliot to Sara Hennell, 1879-11-22",Sara Hennell,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:340-341","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1879-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,"Correspondence,Cross Letters,Letters,Sara Sophia Hennell",https://georgeeliotarchive.org/files/original/a207531e677cea72c5fe91015557b024.pdf,,Correspondence - The John Cross Collection,1,0
1478,https://georgeeliotarchive.org/items/show/1478,"George Eliot to Georgiana Burne-Jones, 1879-11-08",Georgiana Burne-Jones,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:340","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1879-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,"Correspondence,Cross Letters,Georgiana Burne-Jones,Letters",https://georgeeliotarchive.org/files/original/a794e156aba0938f0e25d5e2113558e1.pdf,,Correspondence - The John Cross Collection,1,0
1477,https://georgeeliotarchive.org/items/show/1477,"George Eliot to Eleanor Cross, 1879-10-29",Eleanor Cross,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:339-340","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1879-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,"Correspondence,Cross Letters,Eleanor Cross,Letters",https://georgeeliotarchive.org/files/original/6b91969cb327e32a4b70ab60e1cfc897.pdf,,Correspondence - The John Cross Collection,1,0
1476,https://georgeeliotarchive.org/items/show/1476,"George Eliot to Charles L. Lewes, 1879-10-27",Charles L. Lewes,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:339","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1879-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charles Lee Lewes,Correspondence,Cross Letters,Letters",https://georgeeliotarchive.org/files/original/2761ba5d434695fc7a034452c2ead2e3.pdf,,Correspondence - The John Cross Collection,1,0
1475,https://georgeeliotarchive.org/items/show/1475,"George Eliot to François D'Albert, 1879-11-25",François D'Albert,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:338-339","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1879-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,"Correspondence,Cross Letters,François D'Albert,Letters",https://georgeeliotarchive.org/files/original/ef0c9a310b289dcab5338211f327c628.pdf,,Correspondence - The John Cross Collection,1,0
1474,https://georgeeliotarchive.org/items/show/1474,"George Eliot to Charles L. Lewes, 1879-10-20",Charles L. Lewes,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:337-338","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1879-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charles Lee Lewes,Correspondence,Cross Letters,Letters",https://georgeeliotarchive.org/files/original/3bdb625c7f5ecb3d90ca969e5a7f2b8c.pdf,,Correspondence - The John Cross Collection,1,0
